,smiles
139,[CH2:10]/[C:11]([NH2:12])=[C:13](\[CH3:14])[C:15](=[O:16])[O:17][CH3:18]
140,[CH3:11][C:12](=[CH2:13])[c:14]1[cH:15][n:16][cH:17][cH:18][n:19]1
141,[NH2:11][CH2:12][c:13]1[cH:14][c:15]([OH:16])[cH:17][cH:18][c:19]1[O:20]
142,[CH2:10][C:11]1=[CH:12][N:13]([CH3:14])[CH2:15][CH2:16][O:17][CH2:18]1
143,[CH2:1][NH:2][c:3]1[n:4][cH:5][cH:6][cH:7][c:8]1[C:9]#[N:10]
144,[CH3:9]/[C:10](=[N:11]\[C:12]([CH3:13])=[O:14])[O:15][CH2:16][CH3:17]
145,[O:10][CH2:11][C@@H:12]([OH:13])[CH2:14][NH:15][CH2:16][CH2:17][OH:18]
146,[CH3:1][C:2](=[O:3])[N:4][CH2:5][CH:6]1[CH2:7][CH2:8]1
147,[CH3:1][C@H:2]([OH:3])[C:4]1[CH2:5][CH2:6][CH:7]=[CH:8][O:9]1
148,[O:9]=[c:10]1[nH:11][n:12][cH:13][c:14]2[cH:15][cH:16][n:17][n:18]12
149,[CH3:11][C@@H:12]1[NH:13][CH2:14][C@H:15]([OH:16])[C@H:17]1[OH:18]
150,[OH:10][CH2:11][C:12]1=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17][NH:18]1
151,[cH:1]1[c:2][n:3]2[cH:4][cH:5][n:6][c:7]2[nH:8]1
152,[CH3:1][NH:2][CH2:3][CH2:4][NH:5][CH2:6][CH2:7][NH:8][CH3:9]
153,[CH3:1][CH:2]([CH3:3])[CH2:4][CH:5][CH:6]1[CH2:7][CH2:8]1
154,[NH2:1][C:2](=[O:3])[CH2:4][N:5]1[CH2:6][CH:7]=[CH:8][C:9]1=[O:10]
155,[CH3:1][C:2]1[CH2:3][O:4][CH2:5][CH2:6][NH:7]1
156,[CH3:9][c:10]1[cH:11][c:12]([O:13][CH3:14])[c:15]([NH2:16])[n:17][n:18]1
